Token,Frequency
,
conceit,52
,
wit,43
,
concepto,43
,
agudeza,24
,
english,23
,
concept,22
,
term,21
,
concetto,20
,
italian,18
,
conceits,18
,
mind,17
,
literature,16
,
concetti,16
,
called,16
,
thought,14
,
concepts,14
,
word,13
,
metaphor,13
,
conceptos,13
,
witty,13
,
special,13
,
tesauro,13
,
spanish,12
,
poet,12
,
subject,11
,
terminology,11
,
century,10
,
ingenio,10
,
martial,10
,
history,9
,
scholars,9
,
speaking,9
,
sense,9
,
poetry,9
,
sarbiewski,9
,
modern,8
,
statement,8
,
comparison,8
,
simple,8
,
association,7
,
being,7
,
period,7
,
seventeenth,7
,
gongora,7
,
found,7
,
treatise,7
,
objects,7
,
intellectual,7
,
notion,7
,
new,7
,
basic,7
,
latin,7
,
conceptus,7
,
rhetoric,7
,
address,6
,
baroque,6
,
understanding,6
,
critical,6
,
distinction,6
,
comparisons,6
,
far,6
,
title,6
,
theory,6
,
examples,6
,
give,6
,
own,6
,
complex,6
,
types,6
,
lips,6
,
roses,6
,
order,6
,
ponderation,6
,
jesuit,6
,
classical,6
,
sermons,6
,
name,5
,
metaphysical,5
,
poetic,5
,
conceptismo,5
,
close,5
,
german,5
,
suggest,5
,
neo,5
,
act,5
,
hispanists,5
,
calls,5
,
published,5
,
acutezza,5
,
authority,5
,
presented,5
,
marino,5
,
images,5
,
tasso,5
,
aesthetic,5
,
language,5
,
ingenious,5
,
none,5
,
arte,5
,
traditional,5
,
level,5
,
love,5
,
lines,5
,
difficulty,4
,
professor,4
,
spain,4
,
style,4
,
art,4
,
curtius,4
,
philosophical,4
,
writing,4
,
various,4
,
single,4
,
until,4
,
great,4
,
intellect,4
,
relationships,4
,
meant,4
,
particular,4
,
context,4
,
sarmiento,4
,
led,4
,
several,4
,
three,4
,
theorists,4
,
belongs,4
,
metaphorical,4
,
matteo,4
,
peregrini,4
,
explanation,4
,
beauty,4
,
polish,4
,
contemporary,4
,
study,4
,
influence,4
,
impossible,4
,
metaphors,4
,
point,4
,
relationship,4
,
discourse,4
,
course,4
,
reason,4
,
five,4
,
long,4
,
philosophy,4
,
method,4
,
jesuits,4
,
lion,4
,
religious,4
,
meditation,4
